"Ebene";"EDV-Code";"Code";"Titel";"korrespondierende Ebene";"korrespondierender EDV-Code";"korrespondierender Code";"korrespondierender Titel";"Korrespondenz-Beschreibung"
5;"G47400";"G 47.40-0";"Einzelhandel mit Geräten der Informations- und Kommunikationstechnik";4;"G4740";"G 47.40";"Einzelhandel mit Geräten der Informations- und Kommunikationstechnik";""
5;"G47510";"G 47.51-0";"Einzelhandel mit Textilien";4;"G4751";"G 47.51";"Einzelhandel mit Textilien";""
5;"G47520";"G 47.52-0";"Einzelhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf";4;"G4752";"G 47.52";"Einzelhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf";""
5;"G47530";"G 47.53-0";"Einzelhandel mit Vorhängen, Teppichen, Fußbodenbelägen und Tapeten";4;"G4753";"G 47.53";"Einzelhandel mit Vorhängen, Teppichen, Fußbodenbelägen und Tapeten";""
5;"G47540";"G 47.54-0";"Einzelhandel mit elektrischen Haushaltsgeräten";4;"G4754";"G 47.54";"Einzelhandel mit elektrischen Haushaltsgeräten";""
5;"G47551";"G 47.55-1";"Einzelhandel mit Möbeln";4;"G4755";"G 47.55";"Einzelhandel mit Möbeln, Einrichtungsgegenständen und sonstigem Hausrat";""
5;"G47559";"G 47.55-9";"Einzelhandel mit Einrichtungsgegenständen und Hausrat a.n.g.";4;"G4755";"G 47.55";"Einzelhandel mit Möbeln, Einrichtungsgegenständen und sonstigem Hausrat";""
5;"G47610";"G 47.61-0";"Einzelhandel mit Büchern";4;"G4761";"G 47.61";"Einzelhandel mit Büchern";""
5;"G47620";"G 47.62-0";"Einzelhandel mit Zeitschriften, Zeitungen, Schreibwaren und Bürobedarf";4;"G4762";"G 47.62";"Einzelhandel mit Zeitschriften, Zeitungen, Schreibwaren und Bürobedarf";""
5;"G47630";"G 47.63-0";"Einzelhandel mit Fahrrädern, Sport- und Campingartikeln";4;"G4763";"G 47.63";"Einzelhandel mit Fahrrädern, Sport- und Campingartikeln";""
5;"G47640";"G 47.64-0";"Einzelhandel mit Spielwaren";4;"G4764";"G 47.64";"Einzelhandel mit Spielwaren";""
5;"G47690";"G 47.69-0";"Einzelhandel mit Kunst- und Kulturerzeugnissen a.n.g.";4;"G4769";"G 47.69";"Einzelhandel mit Kunst- und Kulturerzeugnissen a. n. g.";""
5;"G47710";"G 47.71-0";"Einzelhandel mit Bekleidung";4;"G4771";"G 47.71";"Einzelhandel mit Bekleidung";""
5;"G47720";"G 47.72-0";"Einzelhandel mit Schuhen und Lederwaren";4;"G4772";"G 47.72";"Einzelhandel mit Schuhen und Lederwaren";""
5;"G47730";"G 47.73-0";"Apotheken";4;"G4773";"G 47.73";"Einzelhandel mit pharmazeutischen Erzeugnissen";""
5;"G47741";"G 47.74-1";"Einzelhandel mit optischen Artikeln ";4;"G4774";"G 47.74";"Einzelhandel mit medizinischen und orthopädischen Artikeln";""
5;"G47749";"G 47.74-9";"Einzelhandel mit sonstigen medizinischen und orthopädischen Artikeln";4;"G4774";"G 47.74";"Einzelhandel mit medizinischen und orthopädischen Artikeln";""
5;"G47750";"G 47.75-0";"Einzelhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln";4;"G4775";"G 47.75";"Einzelhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln";""
5;"G47761";"G 47.76-1";"Einzelhandel mit Blumen, Pflanzen, Düngemitteln; Blumenbinderei";4;"G4776";"G 47.76";"Einzelhandel mit Blumen, Pflanzen, Düngemitteln, Tierfutter und Haustieren";""
5;"G47762";"G 47.76-2";"Einzelhandel mit zoologischem Bedarf und Haustieren";4;"G4776";"G 47.76";"Einzelhandel mit Blumen, Pflanzen, Düngemitteln, Tierfutter und Haustieren";""
5;"G47770";"G 47.77-0";"Einzelhandel mit Uhren und Schmuck";4;"G4777";"G 47.77";"Einzelhandel mit Uhren und Schmuck";""
5;"G47781";"G 47.78-1";"Einzelhandel mit Fotoartikeln und Brennstoffen";4;"G4778";"G 47.78";"Einzelhandel mit sonstigen Neuwaren";""
5;"G47789";"G 47.78-9";"Einzelhandel mit sonstigen Neuwaren a.n.g.";4;"G4778";"G 47.78";"Einzelhandel mit sonstigen Neuwaren";""
5;"G47790";"G 47.79-0";"Einzelhandel mit Antiquitäten und Gebrauchtwaren";4;"G4779";"G 47.79";"Einzelhandel mit Antiquitäten und Gebrauchtwaren";""
5;"G47810";"G 47.81-0";"Einzelhandel mit Kraftwagen";4;"G4781";"G 47.81";"Einzelhandel mit Kraftwagen";""
5;"G47820";"G 47.82-0";"Einzelhandel mit Kraftwagenteilen und -zubehör";4;"G4782";"G 47.82";"Einzelhandel mit Kraftwagenteilen und -zubehör";""
5;"G47830";"G 47.83-0";"Einzelhandel mit Krafträdern, Kraftradteilen und -zubehör";4;"G4783";"G 47.83";"Einzelhandel mit Krafträdern, Kraftradteilen und -zubehör";""
5;"G47910";"G 47.91-0";"Vermittlungstätigkeiten für den Einzelhandel ohne ausgeprägten Schwerpunkt";4;"G4791";"G 47.91";"Vermittlungstätigkeiten für den Einzelhandel ohne ausgeprägten Schwerpunkt";""
5;"G47920";"G 47.92-0";"Vermittlungstätigkeiten für den Einzelhandel mit ausgeprägtem Schwerpunkt";4;"G4792";"G 47.92";"Vermittlungstätigkeiten für den Einzelhandel mit ausgeprägtem Schwerpunkt";""
5;"H49110";"H 49.11-0";"Personenbeförderung im Eisenbahnverkehr";4;"H4911";"H 49.11";"Personenbeförderung im Eisenbahnverkehr";""
5;"H49120";"H 49.12-0";"Sonstige Personenbeförderung im Schienenverkehr";4;"H4912";"H 49.12";"Sonstige Personenbeförderung im Schienenverkehr";""
5;"H49200";"H 49.20-0";"Güterbeförderung im Schienenverkehr";4;"H4920";"H 49.20";"Güterbeförderung im Schienenverkehr";""
5;"H49310";"H 49.31-0";"Personenbeförderung im Linienverkehr auf der Straße";4;"H4931";"H 49.31";"Personenbeförderung im Linienverkehr auf der Straße";""
5;"H49320";"H 49.32-0";"Personenbeförderung im Gelegenheitsverkehr auf der Straße";4;"H4932";"H 49.32";"Personenbeförderung im Gelegenheitsverkehr auf der Straße";""
5;"H49330";"H 49.33-0";"Personenbeförderung mit Fahrzeug mit Fahrer auf Abruf";4;"H4933";"H 49.33";"Personenbeförderung mit Fahrzeug mit Fahrer auf Abruf";""
5;"H49340";"H 49.34-0";"Personenbeförderung mit Seilbahnen und Skiliften";4;"H4934";"H 49.34";"Personenbeförderung mit Seilbahnen und Skiliften";""
