"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"G4721";"G 47.21";"Retail sale of fruit and vegetables";""
5;"G47210";"G 47.21-0";"Retail sale of fruit and vegetables";""
4;"G4722";"G 47.22";"Retail sale of meat and meat products";""
5;"G47220";"G 47.22-0";"Retail sale of meat and meat products";""
4;"G4723";"G 47.23";"Retail sale of fish, crustaceans and molluscs";""
5;"G47230";"G 47.23-0";"Retail sale of fish, crustaceans and molluscs";""
4;"G4724";"G 47.24";"Retail sale of bread, cake and confectionery";""
5;"G47240";"G 47.24-0";"Retail sale of bread, cake and confectionery";""
4;"G4725";"G 47.25";"Retail sale of beverages";""
5;"G47250";"G 47.25-0";"Retail sale of beverages";""
4;"G4726";"G 47.26";"Retail sale of tobacco products";""
5;"G47260";"G 47.26-0";"Retail sale of tobacco products";""
4;"G4727";"G 47.27";"Retail sale of other food";""
5;"G47270";"G 47.27-0";"Retail sale of other food";""
3;"G473";"G 47.3";"Retail sale of automotive fuel";""
4;"G4730";"G 47.30";"Retail sale of automotive fuel";""
5;"G47300";"G 47.30-0";"Retail sale of automotive fuel";""
3;"G474";"G 47.4";"Retail sale of information and communication equipment";""
4;"G4740";"G 47.40";"Retail sale of information and communication equipment";""
5;"G47400";"G 47.40-0";"Retail sale of information and communication equipment";""
3;"G475";"G 47.5";"Retail sale of other household equipment";""
4;"G4751";"G 47.51";"Retail sale of textiles";""
5;"G47510";"G 47.51-0";"Retail sale of textiles";""
4;"G4752";"G 47.52";"Retail sale of hardware, building materials, paints and glass";""
5;"G47520";"G 47.52-0";"Retail sale of hardware, building materials, paints and glass";""
4;"G4753";"G 47.53";"Retail sale of carpets, rugs, wall and floor coverings";""
5;"G47530";"G 47.53-0";"Retail sale of carpets, rugs, wall and floor coverings";""
4;"G4754";"G 47.54";"Retail sale of electrical household appliances";""
5;"G47540";"G 47.54-0";"Retail sale of electrical household appliances";""
4;"G4755";"G 47.55";"Retail sale of furniture, lighting equipment, tableware and other household goods";""
5;"G47551";"G 47.55-1";"Retail sale of household furniture in specialised stores";""
5;"G47559";"G 47.55-9";"Retail sale of other household articles n.e.c. in specialised stores";""
3;"G476";"G 47.6";"Retail sale of cultural and recreation goods";""
4;"G4761";"G 47.61";"Retail sale of books";""
5;"G47610";"G 47.61-0";"Retail sale of books";""
